,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std,label
10,0.26927656,0.23040009,0.14362124,0.24390319,0.42571598,0.36394903,0.3921179,1470449.2,0.69633025,5,-0.03887644,0.03887644,total,al,2.9802322e-08,0.013046,0.046735674,0.006163184,0.008844349,0.015804883,0.007955681,22429.59,0.005711167,0.013046005,0.013046005,total,exact
11,0.26927656,0.22617117,0.16594028,0.24624662,0.4333946,0.36413142,0.3947028,1480962.9,0.70065737,5,-0.043105364,0.043734066,total,rand,2.9802322e-08,0.02368461,0.07578302,0.021490641,0.017108878,0.041576125,0.027720612,33456.605,0.007769992,0.02368461,0.02250255,total,exact
12,0.26927656,0.23262505,0.15097728,0.25157893,0.43546224,0.37561068,0.40163502,1472698.5,0.7003857,6,-0.036651466,0.038428687,total,rand,2.9802322e-08,0.029999452,0.09210895,0.01932796,0.010009195,0.044656582,0.024803182,44788.824,0.0073147896,0.029999452,0.027686339,total,exact
13,0.26927656,0.25227714,0.07675927,0.2531944,0.4180893,0.39155132,0.4039731,1434950.8,0.6893185,6,-0.016999407,0.017575208,total,al,2.9802322e-08,0.015840234,0.046348814,0.010140339,0.0070153167,0.023346677,0.012949626,24430.332,0.00507628,0.015840234,0.015198845,total,exact
14,0.26927656,0.2060496,0.23761389,0.23482522,0.44134602,0.3371077,0.37965778,1512530.0,0.7062253,7,-0.06322691,0.06322691,total,rand,2.9802322e-08,0.03325674,0.11726827,0.025014393,0.0071440437,0.05089553,0.03354021,48322.547,0.0065474515,0.03325674,0.03325674,total,exact
15,0.26927656,0.20031586,0.25518057,0.22085786,0.42458934,0.31603676,0.3614886,1512677.1,0.7006112,7,-0.068960674,0.068960674,total,al,2.9802322e-08,0.019905249,0.07426313,0.017058626,0.0040182294,0.033410925,0.02280126,26927.494,0.0024019354,0.019905245,0.019905245,total,exact
16,0.26927656,0.20885146,0.22467013,0.23227713,0.43425864,0.33636254,0.37604076,1505151.1,0.7030221,8,-0.060425065,0.060425065,total,rand,2.9802322e-08,0.036827967,0.1346352,0.029754648,0.015111304,0.058835268,0.039241668,53285.05,0.009267955,0.036827967,0.036827967,total,exact
17,0.26927656,0.184395,0.3143894,0.21435794,0.43458414,0.29750988,0.35298145,1539543.6,0.7065543,8,-0.08488153,0.08488153,total,al,2.9802322e-08,0.009533646,0.03565973,0.007159899,0.0048577245,0.014207609,0.009704769,14327.355,0.0025211463,0.0095336465,0.0095336465,total,exact
18,0.26927656,0.18144669,0.32509226,0.21093905,0.43311438,0.29158145,0.3483697,1542866.1,0.7063099,9,-0.08782985,0.08782985,total,al,2.9802322e-08,0.007907572,0.029397404,0.0041039465,0.011174006,0.007967983,0.005611358,15348.355,0.004968299,0.007907573,0.007907573,total,exact
19,0.26927656,0.1929541,0.29008594,0.22358446,0.4405132,0.31498685,0.3648489,1530074.6,0.7074075,9,-0.07632245,0.07632245,total,rand,2.9802322e-08,0.032661848,0.10675179,0.023551675,0.010162056,0.048991762,0.031636454,48257.598,0.0072407965,0.032661848,0.032661848,total,exact
20,0.26927656,0.20223041,0.2471705,0.23637855,0.447121,0.33593553,0.38168842,1521140.4,0.7094132,10,-0.06704612,0.06704612,total,rand,2.9802322e-08,0.029042881,0.108115315,0.025385562,0.007429145,0.049494654,0.033300966,38936.746,0.0037142506,0.029042881,0.029042881,total,exact
21,0.26927656,0.18098798,0.32645375,0.21380529,0.43799096,0.29463974,0.3521123,1546017.2,0.7084156,10,-0.08828855,0.08828855,total,al,2.9802322e-08,0.008296288,0.030651918,0.012606679,0.010072782,0.01962754,0.01699725,8108.9277,0.0029686359,0.008296288,0.008296288,total,exact
22,0.26927656,0.16660175,0.38060293,0.20421796,0.44386333,0.2745711,0.33913976,1568092.0,0.7119938,11,-0.10267478,0.10267478,total,al,2.9802322e-08,0.006793085,0.02530177,0.0051950025,0.0025491647,0.010070883,0.0071514053,10098.785,0.0015275532,0.0067930873,0.0067930873,total,exact
23,0.26927656,0.18330415,0.31776637,0.22092009,0.44828922,0.30482778,0.36154485,1547067.2,0.7115863,11,-0.08597239,0.08597239,total,rand,2.9802322e-08,0.02306621,0.0860854,0.017820008,0.0066116503,0.03589326,0.02369589,33150.59,0.0043231095,0.02306621,0.02306621,total,exact
24,0.26927656,0.17393692,0.35267824,0.21835223,0.45667505,0.2949892,0.358432,1563577.2,0.71565497,12,-0.09533961,0.09533961,total,al,2.9802322e-08,0.0018862714,0.007020986,0.002346321,0.0015675402,0.003808086,0.0031603263,2259.6956,0.00048564398,0.0018862706,0.0018862706,total,exact
25,0.26927656,0.19141468,0.28754514,0.23333743,0.4570508,0.3243609,0.37803894,1540061.2,0.71399534,12,-0.07786183,0.07786183,total,rand,2.9802322e-08,0.02373477,0.088604115,0.01801201,0.011138308,0.03662732,0.023580609,34842.023,0.005762147,0.023734773,0.023734773,total,exact
26,0.26927656,0.18956718,0.2939709,0.22360678,0.44363493,0.3125984,0.36470288,1536817.8,0.7095082,13,-0.07970937,0.07970937,total,rand,2.9802322e-08,0.028759748,0.10714589,0.026577026,0.009437852,0.048869472,0.03612928,38765.668,0.0041038534,0.028759748,0.028759748,total,exact
27,0.26927656,0.19447508,0.27533567,0.23416612,0.45246154,0.32676882,0.3794705,1534133.6,0.7122317,13,-0.07480146,0.07480146,total,al,2.9802322e-08,0.0016735443,0.00623013,0.0012350348,0.0009860891,0.002509387,0.0016230278,2532.9631,0.00048682498,0.0016735411,0.0016735411,total,exact
0,0.35496256,0.4117958,0.19239613,0.45068437,0.5810922,0.66661155,0.6183526,1154739.8,0.70648694,0,0.05683323,0.06774291,total,rand,0.0,0.049042217,0.08947707,0.0660594,0.07814464,0.075431995,0.06565555,117614.51,0.060078245,0.04904221,0.03234275,total,lazy
1,0.35496256,0.3883534,0.15629968,0.44662347,0.59348816,0.6446853,0.6152325,1193224.2,0.71436334,0,0.033390854,0.055175085,total,al,0.0,0.051604923,0.07687382,0.05836794,0.060849667,0.07591762,0.055475693,96533.73,0.04330239,0.05160493,0.027087416,total,lazy
2,0.35496256,0.36073685,0.10216459,0.4159266,0.5847116,0.5914441,0.58602345,1214649.4,0.70418257,1,0.0057742754,0.03623181,total,al,0.0,0.043435864,0.069565125,0.04486495,0.050340485,0.06539443,0.046529803,77019.4,0.033989307,0.043435864,0.024642903,total,lazy
3,0.35496256,0.3625531,0.13978283,0.44492954,0.6171607,0.62262976,0.6154562,1237390.8,0.72450584,1,0.0075905183,0.048557207,total,rand,0.0,0.06508168,0.12185645,0.024368057,0.046383977,0.06629423,0.023294022,107310.81,0.026174905,0.065081686,0.043993622,total,lazy
4,0.35496256,0.3571578,0.07274974,0.4221198,0.5933994,0.59465694,0.59309804,1226248.1,0.7100426,2,0.0021952142,0.025677,total,al,0.0,0.027737016,0.030126732,0.028034594,0.04071474,0.031887077,0.027911568,59116.38,0.025379596,0.027737016,0.010716938,total,lazy
5,0.35496256,0.3554131,0.10985205,0.45668134,0.6301184,0.6270014,0.6257545,1258751.8,0.73474944,2,0.00045050384,0.03852307,total,rand,0.0,0.047878362,0.07889507,0.043778878,0.04700052,0.064571224,0.04200726,79526.45,0.02919948,0.04787836,0.02843437,total,lazy
6,0.35496256,0.3142144,0.15753354,0.44926065,0.6646031,0.5862351,0.6176907,1324438.9,0.7470071,3,-0.040748183,0.05382536,total,rand,0.0,0.056066237,0.11683896,0.058299206,0.028827772,0.09666115,0.05709919,59706.445,0.019787263,0.056066237,0.043665405,total,lazy
7,0.35496256,0.3358782,0.062300045,0.41025132,0.59827006,0.566142,0.58143914,1253669.8,0.71107876,3,-0.019084407,0.022132622,total,al,0.0,0.015949517,0.03198926,0.022813017,0.018458696,0.032629386,0.023092868,21074.734,0.0126878265,0.015949521,0.011346754,total,lazy
8,0.35496256,0.33803025,0.09873883,0.47372383,0.6609167,0.6274367,0.6419405,1301851.5,0.7524413,4,-0.016932309,0.035083745,total,rand,0.0,0.035554744,0.05067596,0.039221585,0.03880194,0.05761065,0.03581127,52900.008,0.022335874,0.035554748,0.017887816,total,lazy
9,0.35496256,0.3289316,0.0730267,0.4318553,0.6273546,0.58115864,0.60309,1283841.2,0.7286859,4,-0.026030943,0.026030943,total,al,0.0,0.013977018,0.03955462,0.01326232,0.010535077,0.022357024,0.012996627,18140.36,0.0062903357,0.013977021,0.013977021,total,lazy
10,0.35496256,0.3226144,0.090673044,0.4493873,0.6509067,0.591839,0.6195962,1308683.5,0.7425853,5,-0.032348122,0.032348122,total,al,0.0,0.015825609,0.044769756,0.027734185,0.01727624,0.03666152,0.026662696,16492.777,0.013353808,0.015825607,0.015825607,total,lazy
11,0.35496256,0.33060136,0.1146556,0.48667282,0.6810988,0.6331782,0.65343845,1325117.4,0.7639462,5,-0.024361223,0.040497728,total,rand,0.0,0.04352453,0.08193378,0.045676664,0.02330219,0.07702776,0.041521292,46252.54,0.017583605,0.043524526,0.029116794,total,lazy
12,0.35496256,0.33519822,0.056791585,0.45600075,0.64507324,0.60901415,0.62628883,1292740.5,0.74219465,6,-0.019764382,0.019819595,total,al,0.0,0.012827626,0.034169003,0.011451966,0.007572991,0.02084604,0.010804082,15047.013,0.0044645946,0.012827632,0.012742159,total,lazy
13,0.35496256,0.3202548,0.11500496,0.47932982,0.6835824,0.61700714,0.64654225,1336438.1,0.7628125,6,-0.034707744,0.038038626,total,rand,0.0,0.03568658,0.083594985,0.04907957,0.02005378,0.07361399,0.045028698,29477.635,0.019487908,0.035686582,0.03211265,total,lazy
14,0.35496256,0.28796327,0.19386691,0.4491222,0.6924862,0.56280756,0.6166038,1368516.5,0.7566264,7,-0.06699929,0.06699929,total,rand,0.0,0.04730428,0.127541,0.06901323,0.020595558,0.09883772,0.068298824,33779.95,0.024533447,0.047304288,0.047304288,total,lazy
15,0.35496256,0.2995878,0.15549691,0.4375301,0.6649206,0.561389,0.6081908,1338710.6,0.74399483,7,-0.05537477,0.05537477,total,al,0.0,0.018676598,0.052527115,0.028437134,0.013667836,0.040332083,0.026981654,15715.507,0.011953472,0.018676598,0.018676598,total,lazy
16,0.35496256,0.29706898,0.16434534,0.45915532,0.6914026,0.57850975,0.62837017,1359836.2,0.7586681,8,-0.057893615,0.057893615,total,rand,0.0,0.030168762,0.08391843,0.03919147,0.018137025,0.059666112,0.03624485,27017.662,0.015122194,0.030168762,0.030168762,total,lazy
17,0.35496256,0.2711996,0.23589511,0.4271236,0.6912318,0.52799064,0.5984971,1379342.1,0.74867266,8,-0.08376296,0.08376296,total,al,0.0,0.009668555,0.027290085,0.010842405,0.009277482,0.016345937,0.010797163,11857.725,0.004517714,0.009668557,0.009668557,total,lazy
18,0.35496256,0.29585654,0.16860934,0.4746221,0.709537,0.59077716,0.6428499,1373517.4,0.7685894,9,-0.059106015,0.059106015,total,rand,0.0,0.031952508,0.08807552,0.03729754,0.01513391,0.05941567,0.0343989,29209.557,0.012295003,0.031952508,0.031952508,total,lazy
19,0.35496256,0.2687295,0.24245115,0.41141468,0.67638284,0.5121064,0.58271796,1371555.9,0.73986614,9,-0.08623304,0.08623304,total,al,0.0,0.009428063,0.026620192,0.019318366,0.016592132,0.022738846,0.019259423,12806.377,0.00978342,0.009428065,0.009428065,total,lazy
20,0.35496256,0.29128987,0.19340125,0.47463283,0.7168559,0.5874726,0.64157766,1381857.8,0.7708101,10,-0.06367271,0.06838116,total,rand,0.0,0.047483113,0.11394063,0.058102675,0.017152792,0.09032338,0.05465995,40904.734,0.018848874,0.047483113,0.040408872,total,lazy
21,0.35496256,0.2765349,0.22105238,0.4595522,0.7189796,0.56018955,0.6295674,1394319.0,0.76619613,10,-0.07842767,0.07842767,total,al,0.0,0.008861847,0.025092397,0.0150237605,0.0053546363,0.020137977,0.014455745,5418.1855,0.0057778065,0.0088618435,0.0088618435,total,lazy
22,0.35496256,0.262065,0.26210392,0.46596533,0.74908435,0.55252075,0.63554466,1423190.2,0.77522177,11,-0.09289756,0.09289756,total,al,0.0,0.01425618,0.04005355,0.016006354,0.020325307,0.022301586,0.015211976,20972.668,0.008230805,0.014256179,0.014256179,total,lazy
23,0.35496256,0.28388152,0.20115308,0.478195,0.7282878,0.5824069,0.6464466,1395645.4,0.7746222,11,-0.07108103,0.07108103,total,rand,0.0,0.019476673,0.054618992,0.029855551,0.013116958,0.041248642,0.027306058,15814.661,0.0114994785,0.019476673,0.019476673,total,lazy
24,0.35496256,0.25726765,0.275452,0.45192724,0.74178225,0.5370278,0.62225085,1421464.9,0.7690203,12,-0.09769492,0.09769492,total,rand,0.0,0.01838702,0.051941436,0.020337928,0.01681217,0.031207403,0.019217836,21034.033,0.0073377686,0.01838702,0.01838702,total,lazy
25,0.35496256,0.25931692,0.26951355,0.4700063,0.7577011,0.5534559,0.63919777,1430759.8,0.7786338,12,-0.09564565,0.09564565,total,al,0.0,0.0146579025,0.041039553,0.020582976,0.005523935,0.029781953,0.01881161,10754.138,0.006852352,0.0146579025,0.0146579025,total,lazy
26,0.35496256,0.26302123,0.2593295,0.44793624,0.7282732,0.53888834,0.6185556,1408948.0,0.7645876,13,-0.09194134,0.09194134,total,al,0.0,0.021092758,0.059356112,0.016133493,0.012895334,0.03235407,0.015044757,23729.217,0.0023103582,0.021092756,0.021092756,total,lazy
27,0.35496256,0.2766039,0.2272754,0.46572638,0.728721,0.5660937,0.634816,1399299.9,0.7703186,13,-0.078358665,0.080163956,total,rand,0.0,0.03577207,0.08720663,0.032714963,0.022330891,0.058336653,0.030135136,39451.25,0.009660626,0.035772074,0.03151922,total,lazy
