,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std,label
16,0.35496256,0.474451,0.44979793,0.2563319,0.3600522,0.48066473,0.40725064,838546.4,0.51182336,8,0.11948842,0.13287067,total,al,0.0,0.09772224,0.2171158,0.02815905,0.004217262,0.09591012,0.036274515,156659.77,0.029921168,0.09772224,0.078565285,total,lazy
17,0.35496256,0.4461875,0.50488555,0.23424797,0.32580978,0.45429182,0.37049758,885000.3,0.5213641,8,0.09122492,0.16674039,total,rand,0.0,0.22703068,0.4936217,0.08601699,0.10862668,0.22876514,0.13091502,358409.03,0.064666875,0.22703068,0.17906022,total,lazy
18,0.35496256,0.42940706,0.31483263,0.24021141,0.35795397,0.43291226,0.3863619,907589.3,0.5229667,9,0.07444448,0.08695023,total,rand,0.0,0.11067237,0.2873724,0.031251222,0.005579699,0.110231265,0.040082566,176044.12,0.032803476,0.110672355,0.10114351,total,lazy
19,0.35496256,0.3387616,0.51328343,0.19383726,0.29169035,0.34760946,0.3104316,1055945.2,0.55305356,9,-0.016200986,0.1616922,total,al,0.0,0.19649346,0.2678678,0.1042364,0.1458691,0.20083508,0.16396166,307749.34,0.0540037,0.19649349,0.112817496,total,lazy
20,0.35496256,0.35928598,0.14906394,0.22112295,0.3617006,0.36622167,0.36161608,1021740.9,0.5457424,10,0.004323429,0.049170732,total,rand,0.0,0.057708535,0.07650946,0.022255443,0.004026406,0.059302878,0.030001871,90208.85,0.015831197,0.05770854,0.030515669,total,lazy
21,0.35496256,0.4028473,0.3733668,0.22807336,0.3585189,0.41073036,0.36532184,953512.1,0.53377897,10,0.047884706,0.11259097,total,al,0.0,0.14356282,0.25116837,0.07001709,0.011776896,0.14649755,0.10732739,225059.69,0.039631538,0.14356282,0.101126164,total,lazy
22,0.35496256,0.4308285,0.36518043,0.24319851,0.36344054,0.44008774,0.38908863,910355.5,0.5266393,11,0.07586595,0.11755879,total,al,0.0,0.1109703,0.18975656,0.04391888,0.0042811898,0.11192446,0.06111245,175123.97,0.031588268,0.110970296,0.06519189,total,lazy
23,0.35496256,0.35232982,0.4992029,0.19797319,0.32947773,0.35897857,0.31801537,1032517.8,0.5475565,11,-0.002632752,0.17334443,total,rand,0.0,0.20199421,0.2853177,0.09898071,0.11150346,0.20470406,0.15147988,317923.62,0.056813344,0.20199421,0.103731856,total,lazy
24,0.35496256,0.37828,0.32867593,0.21842936,0.32697916,0.38732007,0.35076463,993466.5,0.5417267,12,0.023317445,0.10529878,total,rand,0.0,0.15328392,0.29957995,0.077832,0.109008454,0.15743402,0.12205604,239388.22,0.041548327,0.15328394,0.11380613,total,lazy
25,0.35496256,0.40251842,0.2075336,0.2364809,0.36215618,0.41041765,0.3820014,954047.4,0.53388584,12,0.047555886,0.059763007,total,al,0.0,0.07141575,0.16723941,0.021966727,0.0021983196,0.07103275,0.02839872,113598.63,0.021082813,0.07141575,0.061564237,total,lazy
26,0.35496256,0.4595724,0.5002934,0.24167907,0.32387942,0.46574277,0.38083056,862094.8,0.5161085,13,0.10460985,0.17560217,total,rand,0.0,0.16298799,0.23085837,0.08185114,0.107977904,0.16463453,0.12822351,256972.1,0.04617011,0.16298799,0.08168347,total,lazy
27,0.35496256,0.45974192,0.3601265,0.25372875,0.3611623,0.4675365,0.40403843,863243.0,0.51721245,13,0.10477936,0.11950487,total,al,0.0,0.08079614,0.13445066,0.026246583,0.0017667762,0.08081973,0.03438345,128097.195,0.023485629,0.08079614,0.056791864,total,lazy
