,cp-lc-external-al,cp-lc-internal-al,cp-lc-internallazy-al,cp-sc-al,d2-lc-external-al,d2-lc-internal-al,d2-lc-internallazy-al,d2-sc-al,sam-lc-external-al,sam-lc-internal-al,sam-lc-internallazy-al,sam-sc-al,unet-lc-external-al,unet-lc-internal-al,unet-lc-internallazy-al,unet-sc-al
0,0.47267559351158717,0.0211339281291611,0.6775849579524755,0.8501067391385259,0.9097218891455553,0.6775849579524755,0.9097218891455553,0.18587673236587576,0.025748080821108063,0.0022022199424970783,0.28973706282213785,0.4710033068433538,0.7912601064031788,0.3846730627355087,1.0,0.7337299956962472
1,0.47267559351158717,0.7913367801006604,0.24132159301718004,0.6775849579524755,0.3447042220069576,0.3846730627355087,0.6231762238821174,0.03763531378731424,0.6770115120224494,0.053902557169387175,0.12122450301291662,0.38395703557388927,0.5205228832757727,0.04515456962427901,0.7337299956962472,0.9097218891455553
2,0.12122450301291662,0.5707503880581739,0.03763531378731424,0.18587673236587576,0.21229383619233155,0.08897301170181328,0.9097218891455553,0.0010079762403767444,0.7592769354063291,0.0211339281291611,0.6775849579524755,0.8500510248972775,0.7337299956962472,0.21229383619233155,0.4273553138978077,0.9097218891455553
3,0.7337299956962472,0.8501067391385259,0.08897301170181328,0.47267559351158717,0.18587673236587576,0.04515456962427901,0.053902557169387175,0.0022022199424970783,0.1424355494404376,0.6775849579524755,0.017090034751250798,0.012279914306600229,0.031209012771740218,0.24132159301718004,0.4273553138978077,0.7337299956962472
4,0.9698499769931556,0.6231762238821174,0.0211339281291611,0.7913367801006604,0.12122450301291662,0.004586392080253494,0.0010079762403767444,0.00579535854433471,1.0,0.7337299956962472,0.06402210128302689,0.2694055995352045,0.031209012771740218,0.3074894566186813,0.017257456083119765,0.14046504815835495
5,0.3447042220069576,0.9097218891455553,0.025748080821108063,0.7337299956962472,0.0211339281291611,0.031209012771740218,0.04515456962427901,0.025748080821108063,0.6064533744042402,1.0,0.5205228832757727,0.24114462621608423,0.06402210128302689,0.6231762238821174,0.9097218891455553,0.6231762238821174
6,0.5205228832757727,0.8501067391385259,0.6231762238821174,0.6775849579524755,1.0,0.27303633975118835,0.14046504815835495,0.0036105143123296027,0.39943006583041296,0.7913367801006604,0.6775849579524755,0.9077677647776123,0.017257456083119765,0.07566157214388704,0.8501067391385259,0.24132159301718004
7,0.9698499769931556,0.14046504815835495,0.47267559351158717,0.6231762238821174,0.053902557169387175,0.04515456962427901,0.08897301170181328,0.0211339281291611,0.0047873252689102684,0.6231762238821174,0.14046504815835495,0.05381236601214543,0.21229383619233155,0.6231762238821174,0.6775849579524755,0.08897301170181328
8,0.06402210128302689,0.24132159301718004,0.053902557169387175,0.9698499769931556,0.5707503880581739,0.011329696684474665,0.053902557169387175,0.24132159301718004,0.7797908993695718,0.6231762238821174,0.3447042220069576,0.7281677610833472,0.47267559351158717,0.00043963875262656454,0.07566157214388704,0.21229383619233155
9,0.9097218891455553,0.16197241048012612,0.0010079762403767444,0.4273553138978077,0.5205228832757727,0.08897301170181328,0.017257456083119765,0.18587673236587576,0.02370840645676595,0.4273553138978077,0.9096880762234906,0.3192992569592136,0.04515456962427901,0.47267559351158717,0.24132159301718004,0.06402210128302689
10,0.3447042220069576,0.053902557169387175,0.7913367801006604,,0.004586392080253494,0.009108496398030965,0.053902557169387175,,0.6488888545759717,0.3447042220069576,0.07566157214388704,,0.10410988966022681,0.0007685389131627665,0.47267559351158717,
11,0.27303633975118835,0.011329696684474665,0.3846730627355087,,0.031209012771740218,0.031209012771740218,0.08897301170181328,,0.3756824274046202,0.21229383619233155,0.5707503880581739,,0.3447042220069576,0.4273553138978077,0.6231762238821174,
12,0.3846730627355087,0.0028272720911168077,0.06402210128302689,,0.6775849579524755,0.4273553138978077,0.5205228832757727,,0.481844982928025,0.7913367801006604,0.9698499769931556,,0.18587673236587576,0.053902557169387175,0.9698499769931556,
13,0.6775849579524755,1.0,0.21229383619233155,,0.3846730627355087,0.16197241048012612,0.18587673236587576,,0.2846591197058994,1.0,0.4273553138978077,,0.4273553138978077,1.0,0.6775849579524755,
14,0.8501067391385259,,,,0.6231762238821174,,,,0.8361159243984188,,,,0.12122450301291662,,,
15,0.7913367801006604,,,,0.14046504815835495,,,,0.5005351170229524,,,,0.5205228832757727,,,
16,0.8501067391385259,,,,0.21229383619233155,,,,0.8085426673079654,,,,0.8501067391385259,,,
17,0.3846730627355087,,,,0.00579535854433471,,,,0.6629166175161066,,,,0.017257456083119765,,,
18,0.3846730627355087,,,,0.04515456962427901,,,,0.6064533744042402,,,,0.00579535854433471,,,
19,0.9097218891455553,,,,0.3447042220069576,,,,0.13747199804672977,,,,0.16197241048012612,,,
20,0.7913367801006604,,,,0.6231762238821174,,,,0.9677866520554592,,,,0.27303633975118835,,,
21,0.12122450301291662,,,,0.04515456962427901,,,,0.6185196626370502,,,,0.3846730627355087,,,
