model,min,max,best_step,best_rel_step,min,max,best_step,best_rel_step
cp,0.22749999,0.35250002,3.5,0.28500000000000003,0.1263262950034916,0.12579745246752472,5.7445626465380295,0.43585165672125953
d2,0.3125,0.3775,49.5,0.6925,0.1050000029896934,0.14545902957939114,80.4590993403895,0.32014319712695233
sam,0.1825,0.4025,80.75,0.545,0.10307764545919156,0.1970406011862642,152.8471458680207,0.37527767497325676
unet,0.2425,0.47,90.0,0.905,0.03947573764758955,0.1602081846063706,160.01458266878885,0.18999999999999997
