model,min,max,best_step,best_rel_step,min,max,best_step,best_rel_step
cp,0.07,0.19,13.25,0.2875,0.08124038299474809,0.16693311898978644,17.988422202442695,0.19922767545365447
d2,0.145,0.2025,47.0,0.5,0.12974334270947455,0.11954776489843356,82.15026881676448,0.3659690332983562
sam,0.049999997,0.22749999,6.5,0.56,0.018257418855562285,0.17914146536823936,4.932882862316247,0.4049691346263318
unet,0.0625,0.3125,90.75,0.9450000000000001,0.03201562090790381,0.13524668646500598,159.52507639866528,0.10999999999999999
