model,min,max,best_step,best_rel_step,min,max,best_step,best_rel_step
cp,0.22749999,0.35500002,22.0,0.2375,0.1490805140859185,0.13178265426095026,38.72122587591117,0.16859715300087366
d2,0.31,0.365,90.0,0.895,0.10099504749506431,0.13527748621052596,160.00833311633076,0.09539392014169455
sam,0.145,0.385,3.75,0.3325,0.09291573169138782,0.19399311715301062,3.5,0.3045625277891772
unet,0.285,0.4425,90.25,0.925,0.06608076217475217,0.16918923637519392,159.8361139834591,0.08660254037844387
