model,key,dataset,min,max,best_step,best_rel_step
cp,cp-sc-al,sc-al,0.44,0.49,80.0,0.38
d2,d2-sc-al,sc-al,0.41,0.52,330.0,1.0
sam,sam-sc-al,sc-al,0.24,0.57,8.0,0.62
unet,unet-sc-al,sc-al,0.35,0.65,330.0,1.0
