dataset,min,max,best_step,best_rel_step,min,max,best_step,best_rel_step
lc-external-al,0.2125,0.51,185.0,0.56,0.16070158613457539,0.12247447902799424,170.5872210923198,0.5174295443181935
lc-internal-al,0.195,0.2425,7.25,0.56,0.04932882789817493,0.06849573791370896,4.9916597106239795,0.3853137249912942
lc-internallazy-al,0.34,0.445,7.5,0.575,0.11633285072212007,0.1239623602632438,4.795831523312719,0.37116932344506415
sc-al,0.22,0.35,6.25,0.6950000000000001,0.08679477445325125,0.13662600134214806,2.753785273643051,0.3068658773253662
