model,min,max,best_step,best_rel_step,min,max,best_step,best_rel_step
cp,0.08,0.1875,22.75,0.2975,0.08755950048542888,0.18839231908524343,38.16957776379858,0.03947573094109005
d2,0.1575,0.2,88.5,0.765,0.12392874582049879,0.12055427586237155,161.0082813605147,0.16862186493255651
sam,0.06,0.2375,7.25,0.39,0.03366501644645259,0.21975365219405762,3.774917217635375,0.32934277989150856
unet,0.075,0.28,90.25,0.89,0.031091262216262606,0.1086278073994661,159.87781793190283,0.22
