,cp,d2,sam,unet
0,0.00018267179110955002,0.00018267179110955002,0.7913367801006604,0.06402210128302689
1,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.004586392080253494
2,0.00018267179110955002,0.00018267179110955002,0.0005828399431792743,0.0036105143123296027
3,0.00018267179110955002,0.00018267179110955002,0.0028272720911168077,0.00018267179110955002
4,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
5,0.00018267179110955002,0.00018267179110955002,0.0036105143123296027,0.00018267179110955002
6,0.00018267179110955002,0.00018267179110955002,0.0005828399431792743,0.00018267179110955002
7,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
8,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.0028272720911168077
9,0.00018267179110955002,0.00018267179110955002,0.10358920441921747,0.00032983852077799353
10,0.00018267179110955002,0.00018267179110955002,0.0028272720911168077,0.00018267179110955002
11,0.00018267179110955002,0.00018267179110955002,0.0028272720911168077,0.00018267179110955002
12,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,1.0
13,0.00018267179110955002,0.00018267179110955002,0.00024612812790522973,0.00018267179110955002
14,0.0007685389131627665,0.7337299956962472,0.053902557169387175,0.7337299956962472
15,0.14046504815835495,0.14046504815835495,0.24132159301718004,0.9698499769931556
16,0.24132159301718004,0.0010079762403767444,0.24132159301718004,0.9097218891455553
17,0.47267559351158717,0.14046504815835495,0.0028272720911168077,0.06402210128302689
18,0.7913367801006604,0.7337299956962472,0.00728455700947966,0.24132159301718004
19,0.10410988966022681,0.009108496398030965,0.0036105143123296027,0.7913367801006604
20,0.6231762238821174,0.0028272720911168077,0.12122450301291662,0.009108496398030965
21,0.3447042220069576,0.031209012771740218,0.011329696684474665,0.025748080821108063
22,0.8501067391385259,0.00032983852077799353,0.014019277113959953,0.3074894566186813
23,0.7337299956962472,0.0211339281291611,0.0755515855296866,0.6775849579524755
24,0.025692444548908212,0.00024612812790522973,0.7913367801006604,0.6231762238821174
25,0.025748080821108063,0.00018267179110955002,0.08897301170181328,0.9097218891455553
26,0.12122450301291662,0.00018267179110955002,0.47267559351158717,0.0013149446697132139
27,0.0028272720911168077,0.0010079762403767444,0.04515456962427901,0.16197241048012612
