dataset,min,max,best_step,best_rel_step,min,max,best_step,best_rel_step
lc-external-al,0.21000001,0.515,202.5,0.615,0.10424330483579453,0.12069244014849768,152.6160760426852,0.4622769732530488
lc-internal-al,0.1875,0.2525,5.75,0.4425,0.03403430045578602,0.07973916022306635,5.909032633745278,0.4559513862975599
lc-internallazy-al,0.315,0.45999998,10.25,0.7875000000000001,0.12069244385241493,0.12569804562046089,4.193248541803041,0.3205594068707598
sc-al,0.2525,0.375,5.25,0.5825,0.10781929656964145,0.15066518997272962,3.304037933599835,0.3689963866128412
