model,key,dataset,min,max,best_step,best_rel_step
cp,cp-sc-al,sc-al,0.21,0.47,80.0,0.33
d2,d2-sc-al,sc-al,0.34,0.37,330.0,1.0
sam,sam-sc-al,sc-al,0.11,0.56,10.0,0.77
unet,unet-sc-al,sc-al,0.12,0.4,330.0,1.0
