,Unnamed: 0,model(col),data(group),iou,relDelConf,absDelConf,absabsDelConf,iou_std,relDelConf_std,absDelConf_std,absabsDelConf_std
0,0,cp,-lc-internallazy,0.4857647016781256,1.0051673690765202,-0.3559421621096639,0.3559421621096639,0.016673313579053,0.076721501194293,0.0160363769531159,0.0160363769531159
1,1,d2,-lc-internallazy,0.348351117531836,1.484245654717736,-0.5258306712242472,0.5258306712242472,0.0011798542535729,0.0916549081379188,0.0160005696614492,0.0160005696614492
2,2,cp,-lc-internal,0.3223322445762406,1.490422099291857,-0.3999245026043859,0.3999245026043859,0.088698712737754,0.1340809068055,0.0204182942708247,0.0204182942708247
3,3,d2,-lc-external,0.5154117181759466,0.861456301419385,-0.1918112777409222,0.1918112777409222,0.1890468199247841,0.9248115624958868,0.2861275326061963,0.1795471621711041
4,4,cp,-sc,0.2793673525631887,2.1712765988930944,-0.2407986786301336,0.2407986786301336,0.1179088040991071,1.6936128107031343,0.1590935022512234,0.1590935022512234
5,5,d2,-sc,0.1444248556739591,6.066503923416858,-0.756010419759691,0.756010419759691,0.0459412955705836,3.154226160448494,0.1123704139749977,0.1123704139749977
6,6,cp,-lc-external,0.6261040434365532,0.3065842764806581,0.0508873146963166,0.0508873146963166,0.0586298487659287,0.2048805526741973,0.1850802189557257,0.1149860574588472
7,7,d2,-lc-internal,0.2716018676988673,2.293976803443374,-0.6181203033856357,0.6181203033856357,0.0124432516232069,0.0385932297162232,0.0345361328125085,0.0345361328125085
8,8,sam,-sc,0.8745898651041067,0.0574999242692946,0.0079539153640069,0.0079539153640069,0.0041446144955965,0.0465590565421147,0.0075861124874275,0.0075861124874275
9,9,sam,-lc-internal,0.4597115574963674,0.0965798959236267,-0.025501488281469,0.025501488281469,0.3724043800979121,0.0480014862898259,0.0119091796874914,0.0119091796874914
10,10,sam,-lc-internallazy,0.9366096842792752,0.0364342844663242,-0.012916852864872,0.012916852864872,0.0018998512331405,0.0014322420795271,0.0001025390624909,0.0001025390624909
11,11,sam,-lc-external,0.9534417582779564,0.011642026654327,-0.0017621042300806,0.0017621042300806,0.1551624178586138,0.036446417847718,0.0046583689918365,0.00453563110463
12,12,unet,-lc-external,0.576664533757598,1.4803904928655345,-0.4233364662439659,0.4233364662439659,0.2706989212097355,1.8969110109376648,0.2706989212097355,0.2706989212097355
13,13,unet,-lc-internallazy,0.0,0.9999971800243764,0.3549615651038778,0.3549615651038778,0.0,8.849558280621396e-08,0.0111393229166575,0.0111393229166575
14,14,unet,-sc,0.0314339941535303,0.7095990727873022,0.1128402882481216,0.1128402882481216,0.009612344553246,0.1117359383853217,0.0513622344940104,0.0513622344940104
15,15,unet,-lc-internal,0.2692765299478071,2.7193402742059165,-0.7307244700523023,0.7307244700523023,0.0105249023437413,0.1453735800025539,0.0105249023437413,0.0105249023437413
