dataset,min,max,best_step,best_rel_step,min,max,best_step,best_rel_step
lc-external-al,0.195,0.4325,187.5,0.5675,0.10661457271262184,0.10340051133713765,167.00798384109265,0.5067132654009893
lc-internal-al,0.06,0.14,8.5,0.655,0.04830458704599529,0.07348468979607162,3.872983346207417,0.2969287232092353
lc-internallazy-al,0.06,0.22,8.75,0.675,0.018257418175420464,0.1272792233297088,3.774917217635375,0.28919428302325306
sc-al,0.0575,0.112500004,4.0,0.44500000000000006,0.01707825062220736,0.02872281372554263,1.8257418583505538,0.20631690833925043
