model,key,dataset,min,max,best_step,best_rel_step
cp,cp-lc-external-al,lc-external-al,0.02,0.1,1.0,0.11
d2,d2-lc-external-al,lc-external-al,0.05,0.08,2.0,0.15
sam,sam-lc-external-al,lc-external-al,0.03,0.1,0.0,0.0
unet,unet-lc-external-al,lc-external-al,0.04,0.13,7.0,0.78
