dataset,min,max,best_step,best_rel_step,min,max,best_step,best_rel_step
lc-external-al,0.17500001,0.4225,135.0,0.41000000000000003,0.11474610234253785,0.05057995974693703,148.88474289418195,0.45181116999619797
lc-internal-al,0.0625,0.16499999,9.75,0.75,0.05315072954027958,0.08582928362493251,3.774917217635375,0.290516780926679
lc-internallazy-al,0.0425,0.24249999,8.25,0.6325000000000001,0.01707825116753402,0.13225605829794765,5.188127472091127,0.40011456692635755
sc-al,0.0475,0.1025,4.5,0.5,0.012583057357578087,0.020615526537900986,3.0,0.3355592347112503
