model,key,dataset,min,max,best_step,best_rel_step
cp,cp-sc-al,sc-al,0.19,0.44,40.0,0.46
d2,d2-sc-al,sc-al,0.33,0.36,170.0,1.0
sam,sam-sc-al,sc-al,0.07,0.48,12.0,0.92
unet,unet-sc-al,sc-al,0.11,0.42,330.0,1.0
