model,key,dataset,min,max,best_step,best_rel_step
cp,cp-sc-al,sc-al,0.41,0.47,12.0,0.92
d2,d2-sc-al,sc-al,0.4,0.53,170.0,1.0
sam,sam-sc-al,sc-al,0.33,0.58,310.0,0.94
unet,unet-sc-al,sc-al,0.3,0.65,330.0,1.0
