,cp-lc-external-al,cp-lc-internal-al,cp-lc-internallazy-al,cp-sc-al,d2-lc-external-al,d2-lc-internal-al,d2-lc-internallazy-al,d2-sc-al,sam-lc-external-al,sam-lc-internal-al,sam-lc-internallazy-al,sam-sc-al,unet-lc-external-al,unet-lc-internal-al,unet-lc-internallazy-al,unet-sc-al
0,0.5707503880581739,0.18587673236587576,0.3846730627355087,0.16197241048012612,0.6775849579524755,0.4273553138978077,0.9097218891455553,0.27303633975118835,0.004586392080253494,0.3846730627355087,0.44952132576702597,0.42665907124897295,0.344522779098129,0.21229383619233155,0.762282125586337,0.3074894566186813
1,0.3074894566186813,0.14046504815835495,0.7337299956962472,0.7337299956962472,0.18587673236587576,0.27303633975118835,0.3074894566186813,0.03763531378731424,0.12052459157060315,0.025748080821108063,0.7913367801006604,0.36416573464017166,0.3447042220069576,0.14046504815835495,0.4273553138978077,0.7337299956962472
2,0.16197241048012612,0.5707503880581739,0.6231762238821174,0.8501067391385259,0.12122450301291662,0.3447042220069576,0.014019277113959953,0.004586392080253494,0.6457705807539487,0.3447042220069576,0.7337299956962472,0.10397974445898675,0.5707503880581739,0.4273553138978077,0.12122450301291662,0.4273553138978077
3,0.7337299956962472,0.27303633975118835,0.06402210128302689,0.3846730627355087,0.08897301170181328,0.5205228832757727,0.7913367801006604,0.00728455700947966,0.4513225080715948,0.3846730627355087,0.1398679114797594,0.5198945163559368,0.053902557169387175,0.21229383619233155,0.7913367801006604,0.5707503880581739
4,0.3447042220069576,0.9097218891455553,0.3846730627355087,0.47267559351158717,0.04515456962427901,0.03756347188589839,0.025748080821108063,0.004586392080253494,0.39028890367052815,0.3074894566186813,0.14046504815835495,0.8202634339098493,0.031209012771740218,0.5205228832757727,0.9097218891455553,0.8501067391385259
5,0.9097218891455553,0.3074894566186813,0.8501067391385259,0.7337299956962472,0.03763531378731424,0.14046504815835495,0.12122450301291662,0.014019277113959953,0.45150957147227055,0.6231762238821174,0.21229383619233155,1.0,0.07566157214388704,0.16197241048012612,0.5707503880581739,0.27303633975118835
6,0.8501067391385259,0.12122450301291662,0.5707503880581739,0.27303633975118835,0.6775849579524755,0.18587673236587576,0.6775849579524755,0.0036105143123296027,0.5642483162786271,0.9097218891455553,0.5707503880581739,0.6204028580444134,0.0036105143123296027,0.16197241048012612,0.10410988966022681,0.12122450301291662
7,0.5205228832757727,0.4273553138978077,0.6775849579524755,0.3074894566186813,0.053902557169387175,0.10410988966022681,0.21229383619233155,0.00728455700947966,0.0047873252689102684,0.3447042220069576,0.12122450301291662,0.10410988966022681,0.025748080821108063,0.10410988966022681,0.8501067391385259,0.10410988966022681
8,0.9097218891455553,0.24132159301718004,0.04515456962427901,0.47267559351158717,0.7337299956962472,0.21229383619233155,0.07566157214388704,0.12122450301291662,0.8521355156231386,0.7913367801006604,0.6231762238821174,0.6204028580444134,0.7913367801006604,1.0,0.47267559351158717,0.9698499769931556
9,0.6775849579524755,0.7337299956962472,0.031209012771740218,0.18587673236587576,0.47267559351158717,0.03763531378731424,0.04515456962427901,0.18587673236587576,0.05651717597829673,0.5707503880581739,0.10397974445898675,0.9090383244564332,0.03763531378731424,0.6775849579524755,0.47267559351158717,0.27303633975118835
10,0.7913367801006604,0.21212191786139534,0.6775849579524755,,0.00579535854433471,0.011329696684474665,0.12122450301291662,,0.23000222790045965,0.47267559351158717,0.21229383619233155,,0.14046504815835495,0.7337299956962472,0.47267559351158717,
11,1.0,0.03763531378731424,0.017257456083119765,,0.06402210128302689,0.10410988966022681,0.12122450301291662,,0.6080369121950269,0.9097218891455553,0.24132159301718004,,0.3074894566186813,0.4273553138978077,0.7337299956962472,
12,0.9097218891455553,0.00728455700947966,0.6231762238821174,,0.9698499769931556,0.27303633975118835,0.9097218891455553,,1.0,0.6775849579524755,0.5707503880581739,,0.21229383619233155,0.24132159301718004,0.9097218891455553,
13,0.5205228832757727,1.0,0.3074894566186813,,0.6775849579524755,0.0211339281291611,0.21229383619233155,,0.6064533744042402,1.0,0.16197241048012612,,0.47267559351158717,0.9698499769931556,0.7337299956962472,
14,0.27303633975118835,,,,0.6231762238821174,,,,0.7721147191649156,,,,0.24132159301718004,,,
15,0.3074894566186813,,,,0.21229383619233155,,,,0.6117014910448406,,,,0.7337299956962472,,,
16,0.12122450301291662,,,,0.24132159301718004,,,,0.8716699402398118,,,,0.7913367801006604,,,
17,0.12122450301291662,,,,0.009108496398030965,,,,0.3218521904885808,,,,0.017257456083119765,,,
18,0.3846730627355087,,,,0.053902557169387175,,,,0.36208141822338946,,,,0.004586392080253494,,,
19,0.7337299956962472,,,,0.47267559351158717,,,,1.0,,,,0.21229383619233155,,,
20,0.5707503880581739,,,,0.5707503880581739,,,,0.3126819505807118,,,,0.3447042220069576,,,
21,0.18587673236587576,,,,0.08897301170181328,,,,0.23776159060431246,,,,0.6231762238821174,,,
22,0.6775849579524755,,,,0.16197241048012612,,,,0.1825529086174874,,,,0.03763531378731424,,,
23,0.9698499769931556,,,,0.0211339281291611,,,,0.2627444655736104,,,,0.18587673236587576,,,
24,0.7337299956962472,,,,0.3074894566186813,,,,0.21212191786139534,,,,0.5707503880581739,,,
25,0.3447042220069576,,,,0.14046504815835495,,,,0.4055023001299908,,,,0.9097218891455553,,,
26,0.7337299956962472,,,,0.053902557169387175,,,,0.5655908910667207,,,,0.16197241048012612,,,
27,0.14046504815835495,,,,0.5707503880581739,,,,0.8495467852012831,,,,0.5205228832757727,,,
28,0.7337299956962472,,,,0.5707503880581739,,,,0.8205295061094116,,,,0.6775849579524755,,,
29,0.4273553138978077,,,,0.47267559351158717,,,,0.7053513720635047,,,,0.4961297149428171,,,
30,0.3447042220069576,,,,0.06402210128302689,,,,0.9698045577720108,,,,0.8501067391385259,,,
31,0.7913367801006604,,,,0.5707503880581739,,,,0.06302317942205089,,,,0.6231762238821174,,,
32,0.10410988966022681,,,,0.6231762238821174,,,,0.5701699724963722,,,,0.6775849579524755,,,
33,0.24132159301718004,,,,0.004586392080253494,,,,0.673505472157737,,,,0.5707503880581739,,,
